Source,X,Y,Z,Nanoseconds=
6939,0.265,-0.371,-0.238,2724622556
6939,0.213,-0.35,-0.093,2724624164
6939,0.204,-0.192,-0.267,2724633332
6939,0.296,-0.23,-0.422,2724635257
6939,0.406,-0.56,-0.305,2724636887
6939,0.369,-0.401,-0.421,2724638514
6939,0.374,-0.416,-0.498,2724640133
6939,0.443,-0.378,-0.605,2724641754
6939,0.341,-0.328,-0.374,2724643346
6939,0.318,-0.467,-0.214,2724644956
6939,0.287,-0.325,-0.309,2724646564
6939,0.284,-0.182,-0.429,2724648151
6939,0.147,-0.184,-0.264,2724649752
6939,0.28,-0.337,-0.346,2724651322
6939,0.367,-0.413,-0.433,2724652941
6939,0.236,-0.364,-0.256,2724654550
6939,0.213,-0.496,-0.113,2724656201
6939,0.233,-0.638,-0.011,2724657873
6939,0.228,-0.503,-0.159,2724659486
6939,0.334,-0.766,-0.024,2724661110
6939,0.311,-0.773,0.093,2724662740
6939,0.397,-1.005,0.24,2724664647
6939,0.445,-1.197,0.404,2724666421
6939,0.303,-0.951,0.354,2724668090
6939,0.468,-1.085,0.182,2724669737
6939,0.446,-1.043,0.246,2724671389
6939,0.387,-0.948,0.278,2724672995
6939,0.28,-0.759,0.255,2724674616
6939,0.375,-0.852,-0.005,2724676235
6939,0.443,-0.724,-0.285,2724677938
6939,0.388,-0.73,-0.135,2724679532
6939,0.379,-0.774,0.007,2724681140
6939,0.32,-0.754,0.067,2724682787
6939,0.32,-0.681,-0.136,2724684446
6939,0.44,-0.55,-0.577,2724686052
6939,0.459,-0.771,-0.365,2724687681
6939,0.401,-0.785,-0.192,2724689273
6939,0.262,-0.566,-0.109,2724690874
6939,0.358,-0.529,-0.263,2724692510
6939,0.227,-0.369,-0.161,2724694111
6939,0.363,-0.521,-0.341,2724695770
6939,0.326,-0.564,-0.197,2724697352
6939,0.309,-0.606,-0.099,2724698960
6939,0.121,-0.455,-0.027,2724700619
6939,0.112,-0.395,-0.213,2724702285
6939,0.194,-0.365,-0.397,2724703912
6939,0.258,-0.376,-0.51,2724705534
6939,0.454,-0.288,-0.814,2724707143
6939,0.309,-0.245,-0.523,2724708765
6939,0.237,-0.242,-0.311,2724710370
6939,0.254,-0.436,-0.154,2724712010
6939,0.141,-0.337,-0.044,2724713591
6939,0.186,-0.383,-0.231,2724715216
6939,0.151,-0.488,-0.157,2724716838
6939,0.252,-0.537,-0.298,2724718454
6939,0.296,-0.809,-0.16,2724720075
6939,0.2,-0.745,-0.089,2724721694
6939,0.228,-0.778,0.035,2724723421
6939,0.262,-0.962,0.15,2724725087
6939,0.309,-1.094,0.287,2724726732
6939,0.324,-1.027,0.295,2724728335
6939,0.275,-0.972,0.338,2724729976
6939,0.288,-0.724,-0.005,2724731629
6939,0.341,-0.631,-0.271,2724733295
6939,0.331,-0.823,-0.124,2724734902
6939,0.396,-0.943,0.001,2724736519
6939,0.358,-0.657,-0.215,2724738204
6939,0.221,-0.483,-0.126,2724739852
6939,0.229,-0.573,-0.015,2724741470
6939,0.319,-0.54,-0.21,2724743076
6939,0.38,-0.786,-0.1,2724744723
6939,0.458,-0.753,-0.242,2724746404
6939,0.449,-0.91,-0.083,2724748001
6939,0.572,-1.008,-0.186,2724749684
6939,0.468,-0.897,-0.079,2724751297
6939,0.329,-0.657,-0.027,2724752907
6939,0.212,-0.502,0.051,2724767639
6939,0.096,-0.475,0.047,2724769404
6939,0.031,-0.371,0.077,2724771147
6939,-0.036,-0.294,0.1,2724772916
6939,0.005,-0.442,0.121,2724779325
6939,0.209,-0.69,-0.118,2724781169
6939,0.286,-0.686,-0.279,2724782910
6939,0.211,-0.56,-0.145,2724784550
6939,0.231,-0.339,-0.343,2724786238
6939,0.241,-0.49,-0.179,2724787840
6939,0.331,-0.49,-0.354,2724789501
6939,0.234,-0.379,-0.223,2724791162
6939,0.216,-0.483,-0.11,2724792812
6939,0.202,-0.322,-0.287,2724794480
6939,0.323,-0.376,-0.427,2724796120
6939,0.471,-0.58,-0.561,2724797756
6939,0.307,-0.431,-0.38,2724799431
6939,0.306,-0.531,-0.208,2724801083
6939,0.174,-0.415,-0.082,2724802746
6939,0.181,-0.526,0,2724804394
6939,0.094,-0.394,0.053,2724806107
6939,0.185,-0.743,0.115,2724807862
6939,0.193,-0.793,0.167,2724809577
6939,0.163,-0.839,0.221,2724811250
6939,0.196,-0.827,0.237,2724812935
6939,0.297,-0.814,-0.028,2724814571
6939,0.148,-0.608,-0.033,4035221616
6939,0.15,-0.632,0.041,4035236759
6939,0.13,-0.463,0.015,4035241055
6939,0.109,-0.363,0.046,4035244676
6939,0.215,-0.681,0.092,4035248345
6939,0.326,-0.932,0.169,4035251868
6939,0.404,-0.921,-0.012,4035255706
6939,0.438,-1.032,0.054,4035261982
6939,0.347,-0.786,0.061,4035267753
6939,0.367,-0.953,0.143,4035273572
6939,0.447,-0.894,-0.063,4035291477
6939,0.425,-0.874,0.051,4035295879
6939,0.336,-0.665,0.037,4035299370
6939,0.305,-0.681,0.101,4035302896
6939,0.367,-0.806,-0.144,4035306452
6939,0.266,-0.609,-0.1,4035309962
6939,0.172,-0.441,-0.051,4035313716
6939,0.124,-0.343,0.022,4035317232
6939,0.095,-0.268,0.088,4035320857
6939,-0.022,-0.188,0.076,4035324451
6939,-0.009,-0.082,-0.154,4035328175
6939,0.154,-0.454,-0.148,4035331873
6939,0.077,-0.347,-0.073,4035335411
6939,0.076,-0.301,-0.024,4035338962
6939,0.189,-0.501,0.028,4035342536
6939,0.372,-0.748,-0.154,4035346094
6939,0.569,-0.946,-0.268,4035349547
6939,0.477,-0.904,-0.184,4035353015
6939,0.395,-0.725,-0.069,4035356499
6939,0.55,-0.603,-0.496,4035360040
6939,0.547,-0.854,-0.27,4035363535
6939,0.675,-0.72,-0.622,4035367081
6939,0.653,-0.633,-0.642,4035370584
6939,0.743,-0.764,-0.61,4035376160
6939,0.53,-0.57,-0.399,4035382210
6939,0.364,-0.436,-0.224,4035387736
6939,0.378,-0.732,-0.038,4035391367
6939,0.307,-0.748,0.066,4035394947
6939,0.281,-0.794,0.171,4035398597
6939,0.293,-0.804,0.234,4035402066
6939,0.225,-0.813,0.249,4035405525
6939,0.156,-0.646,0.234,4035408994
6939,0.084,-0.492,0.216,4035412491
6939,0.054,-0.418,0.203,4035416006
6939,0.107,-0.434,-0.083,4035419524
6939,0.116,-0.526,-0.025,4035423144
6939,0.129,-0.594,-0.015,4035426810
6939,0.167,-0.698,0.06,4035430399
6939,0.205,-0.488,-0.175,4035449727
6939,0.26,-0.605,-0.083,4035453483
6939,0.286,-0.69,-0.018,4035456999
6939,0.207,-0.73,0.017,4035460543
6939,0.157,-0.753,0.084,4035464046
6939,0.243,-0.741,-0.103,4035467566
6939,0.253,-0.472,-0.329,4035471131
6939,0.212,-0.222,-0.499,4035474572
6939,0.312,-0.249,-0.596,4035477973
6939,0.316,-0.41,-0.398,4035481365
6939,0.393,-0.427,-0.487,4035484836
6939,0.415,-0.442,-0.541,4035488380
6939,0.378,-0.525,-0.376,4035491886
6939,0.438,-0.532,-0.457,4035495266
6939,0.256,-0.396,-0.293,4035498710
6939,0.244,-0.243,-0.396,4035502121
6939,0.08,-0.217,-0.231,4035505636
6939,0.015,-0.178,-0.072,4035509158
6939,0.076,-0.263,-0.233,4035512705
6939,0.074,-0.142,-0.373,4035516183
6939,0.118,-0.338,-0.241,4035519709
6939,0.054,-0.303,-0.11,4035523256
6939,0.061,-0.459,-0.054,4035526807
6939,0.196,-0.283,-0.453,4035530326
6939,0.254,-0.444,-0.304,4035533789
6939,0.279,-0.548,-0.205,4035537198
6939,0.289,-0.644,-0.096,4035540621
6939,0.227,-0.725,0.036,4035544134
